City,Country,Period,Mean,Median,Mean - Median,Std,Min,Max,Unit,GridCells,TotalWeight
Paris,France,1995-06-01,26.46,26.39,0.07,0.91,23.84,28.34,°C,290,227.35
Paris,France,1995-09-01,18.29,18.25,0.04,0.56,16.69,19.52,°C,290,227.35
